A1,A2,Class
-1.810745,-6.985481,1
0.605456,-4.52865,1
0.080715,-3.380374,1
2.757078,-4.676496,1
-4.242668,-3.133825,1
-1.413683,-5.183453,1
6.553873,0.234863,1
-1.054939,-2.90971,1
3.935028,-4.078328,1
2.933757,-3.877136,1
4.552351,2.675665,1
5.583123,0.942767,1
1.550078,-2.740372,1
-4.585617,-3.892274,1
-3.617144,-4.912128,1
1.999172,3.772219,1
3.844328,5.233333,1
4.123054,-2.296493,1
3.94815,3.686212,1
4.727061,-0.073253,1
-0.153574,-4.692884,1
-5.869785,-3.32467,1
3.5667,-1.393247,1
-0.518757,-3.673277,1
6.053968,1.975547,1
-3.716415,-4.210446,1
4.714436,1.065998,1
3.114302,3.369196,1
4.5226,1.699038,1
4.18794,-4.636893,1
4.567997,2.285941,1
-3.68134,-3.191375,1
3.720098,-1.312158,1
3.793283,-4.448974,1
4.414065,-1.503067,1
3.567877,2.035196,1
-3.806443,-1.850276,1
-4.263928,-2.741323,1
-2.817909,-3.069677,1
3.905975,-3.496219,1
5.47637,-0.174215,1
1.401275,5.301823,1
4.336035,3.778549,1
-1.198695,-6.509093,1
2.513091,-6.922192,1
5.067411,-1.053858,1
4.926015,4.58575,1
4.796195,-2.205658,1
0.429417,-5.422143,1
5.247592,0.851841,1
4.13386,2.594646,1
6.341279,-2.81833,1
-2.767199,-4.43062,1
1.183314,-4.418723,1
2.679979,6.580661,1
4.91525,-0.904208,1
4.993515,0.840729,1
4.246852,3.061873,1
4.828413,-1.112586,1
1.010641,3.504288,1
4.261596,-4.120877,1
-1.079483,-6.246062,1
-2.47917,-3.462171,1
-0.996612,-4.921614,1
4.626657,2.867284,1
3.663438,-4.65243,1
1.999073,-4.745484,1
-5.006814,-3.423439,1
6.259629,-2.929001,1
5.396618,4.280272,1
-3.394017,-2.670225,1
1.586796,4.291325,1
3.334463,-3.207291,1
-3.785398,-2.953377,1
-5.583876,-4.085416,1
1.65152,-5.871864,1
-0.120757,-4.113609,1
-3.580645,-2.345253,1
4.226451,-5.347214,1
0.922319,2.387662,1
0.473785,-5.129745,1
1.803584,-3.51086,1
4.04805,-0.708617,1
-3.276847,-5.5713,1
-2.679117,-4.751544,1
4.063521,-2.190998,1
2.573993,-4.419665,1
-2.277491,-5.380152,1
3.090264,5.50663,1
-4.279568,-3.578909,1
-1.570343,-6.161951,1
-2.941052,-5.851285,1
-3.160496,-2.649209,1
5.852412,-3.447557,1
3.290546,-3.081431,1
4.924089,2.92662,1
-3.988372,-0.937434,1
0.544397,-5.077699,1
0.856934,-3.728075,1
-5.143861,-2.63517,1
3.803634,-4.183629,1
4.935452,-3.025551,1
-2.636125,-4.090795,1
1.068934,1.350855,1
4.093082,-5.939895,1
3.805229,2.286569,1
6.551942,-2.982056,1
6.016246,-0.233573,1
-1.385806,-5.100792,1
-4.107047,-2.346057,1
2.270414,3.532137,1
-1.418233,-3.793899,1
0.771178,-6.119362,1
-3.88631,-3.641458,1
3.382156,3.845364,1
3.103948,3.678652,1
0.893851,-5.956062,1
-1.739993,-4.212704,1
4.764044,0.23242,1
-0.069091,-3.983517,1
5.631237,-0.161344,1
3.243818,4.371457,1
-3.970518,-1.996198,1
2.167632,1.916703,1
-0.50289,-6.150899,1
4.843382,4.462862,1
5.530888,-3.853202,1
2.95033,-4.62956,1
0.505381,-4.608549,1
3.87288,-3.116764,1
3.67855,0.142448,1
0.390002,-5.245128,1
3.517171,0.334915,1
0.927852,-4.675092,1
5.070292,-2.068823,1
5.590412,-1.381101,1
4.401392,-1.352064,1
4.458394,2.857084,1
-4.299828,-4.613292,1
0.995579,5.596467,1
-4.882616,-4.857834,1
3.111295,-4.399448,1
3.41426,4.409763,1
0.987981,-4.428475,1
-1.551008,-4.884517,1
-2.410825,-5.164862,1
-0.757385,-4.606587,1
3.865892,-4.893117,1
4.189041,-3.247113,1
4.696467,-1.794677,1
2.719914,-5.541545,1
4.3476,5.012492,1
4.335793,-4.445624,1
3.684377,0.000628,1
4.326856,0.336419,1
6.201498,1.636216,1
-1.21565,-2.197683,1
5.621771,-2.379362,1
3.277605,-2.697755,1
-3.548993,-4.122446,1
4.433239,-1.470347,1
1.150378,-5.762274,1
5.771603,3.260472,1
-1.345146,-4.199763,1
5.078305,1.275438,1
-1.080805,-3.934568,1
3.269315,-0.48871,1
0.606664,-5.243641,1
3.598351,2.593703,1
6.272614,2.961766,1
1.159543,-5.762327,1
4.082406,2.605302,1
-4.40093,-3.55006,1
5.350476,-1.985041,1
4.408245,3.627567,1
4.997365,1.33756,1
4.504681,3.126922,1
3.439431,5.234106,1
3.790728,2.724238,1
-4.051754,-3.821567,1
0.200594,-4.574901,1
0.397402,-2.700813,1
2.988815,-0.881977,1
4.762055,-4.073425,1
-4.934331,-2.561041,1
-1.12518,-4.677679,1
5.71142,-2.029234,1
-3.298426,-2.31534,1
3.936402,0.337339,1
3.070478,-3.364078,1
4.401064,-3.797982,1
4.993313,-3.473154,1
5.361874,-1.827085,1
4.788919,-4.069014,1
-1.262324,-4.28398,1
5.209871,0.462657,1
3.982088,-1.839818,1
3.009855,3.406429,1
5.755621,0.656345,1
-1.104843,-4.725215,1
0.34173,-4.65696,1
-3.383819,-3.690373,1
4.39299,3.563401,1
4.912201,-2.821524,1
4.417061,-1.318689,1
4.227137,-2.202764,1
-3.694535,-3.017646,1
4.47279,1.819403,1
5.337316,-2.024271,1
-7.62088,-2.166763,1
4.530384,5.57733,1
3.21769,-0.01066,1
