Knn; Dst; Nb; Svm; Mlp
0.976000; 0.956000; 0.772000; 0.966000; 0.972000
0.968000; 0.966000; 0.766000; 0.968000; 0.964000
0.984000; 0.956000; 0.776000; 0.984000; 0.980000
0.984000; 0.960000; 0.790000; 0.978000; 0.982000
0.980000; 0.964000; 0.814000; 0.980000; 0.984000
0.966000; 0.948000; 0.790000; 0.964000; 0.970000
0.962000; 0.964000; 0.778000; 0.962000; 0.958000
0.978000; 0.962000; 0.794000; 0.982000; 0.976000
0.970000; 0.962000; 0.780000; 0.968000; 0.968000
0.966000; 0.956000; 0.800000; 0.968000; 0.968000
0.973400; 0.959400; 0.786000; 0.972000; 0.972200
